Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-16,93.69025,102.68642,90.82218,94.72276,11054128.0,2020,3,16,109.237094,117.20936999999999,127.67112660000001,132.7965579,26.42733821210561,-8.314027379886369,131.00465911994013,155.4223691103726,99.9198840896274,5197786.0,-36.43773456471949,48.1495621687246,576.468831892189,7.2883098571428535,103.90057,104.35947,96.37667,103.20267,13077197.0,103.20267
2020-03-17,96.18547,102.67686,92.82983,101.95985,9684182.0,2020,3,17,105.65583199999999,113.84225799999999,125.2036315,132.1017205,25.148646827576982,-9.51023475607721,129.85203981327297,155.47586402904685,94.93139897095317,-5856342.0,-34.829187583908755,46.61458143873881,617.3986186778113,7.77588171428571,93.69025,102.68642,90.82218,94.72276,11054128.0,94.72276
2020-03-18,95.038239,102.22753,95.028679,98.99618,9176035.0,2020,3,18,102.19120600000001,111.71510699999999,123.07887099999998,131.57227490000002,31.888811674455965,-9.761737802881129,129.0967822510876,153.625822028392,92.53191997160795,3827840.0,-30.624016475125153,44.70806472222796,633.6782480958009,8.174678857142853,96.18547,102.67686,92.82983,101.95985,9684182.0,101.95985
2020-03-19,97.82983,99.13002,93.91969,95.92735,8782739.0,2020,3,19,99.434036,108.78298499999998,120.817399,130.9881449,33.173948441365084,-10.083957593933988,128.3438122778706,151.46929146932982,90.16550653067016,-5348195.0,-26.356847543503743,40.85478859450279,621.7929832653757,8.228626071428568,95.038239,102.22753,95.028679,98.99618,9176035.0,98.99618
2020-03-20,96.48183,96.54876,90.54493,91.19503,11031639.0,2020,3,20,98.961762,105.990442,118.385277,130.3409177,33.079802759594045,-10.466299053090125,127.5858156886533,148.82016710405065,87.95038689594935,-14130934.0,-22.98657631988714,36.694649065495135,598.0966024623299,8.139853214285711,97.82983,99.13002,93.91969,95.92735,8782739.0,95.92735
2020-03-23,90.43977,93.44168,86.57744,90.60229,10176952.0,2020,3,23,96.560234,102.89866399999998,115.78250500000001,129.5776289,28.113387454558875,-11.02408727262167,126.54749524946384,146.1673534112546,85.39765658874543,-25162573.0,-28.11160455491229,38.38979313702248,613.4189771392385,8.125513214285712,96.48183,96.54876,90.54493,91.19503,11031639.0,91.19503
2020-03-24,95.59274,101.37667,94.89484,100.8413,8340699.0,2020,3,24,95.73614,100.69598599999999,113.313098,128.7751431,29.711078265984582,-11.382754313307402,125.62561392647326,143.44070550938716,83.18549049061285,-35339525.0,-32.54432532185441,42.148132559167365,638.894952905514,8.04903107142857,90.43977,93.44168,86.57744,90.60229,10176952.0,90.60229
2020-03-25,100.8413,107.53346,98.30784,101.19503,9052084.0,2020,3,25,95.51243000000001,98.85181800000001,111.58126250000001,128.1783937,33.94412744983231,-10.717256133636013,125.11538895486974,140.29297962052266,82.86954537947736,-26998826.0,-22.81835687502132,46.20232617489148,622.7391558257253,8.451243928571428,95.59274,101.37667,94.89484,100.8413,8340699.0,100.8413
2020-03-26,102.20841,108.174,100.92735,107.92543,7482561.0,2020,3,26,95.95219999999999,97.693118,109.96080399999998,127.59043969999999,36.09154123359042,-10.045502675105595,124.59262909733096,137.05156435712092,82.87004364287904,-17946742.0,-15.520207305305956,47.1638976639432,595.2704574398279,8.716198928571428,100.8413,107.53346,98.30784,101.19503,9052084.0,101.19503
2020-03-27,103.80497,106.59656,102.91587,103.27916,6718458.0,2020,3,27,98.35181600000001,98.656789,108.994265,127.1520077,41.79384791649026,-8.86782343921874,124.29688003521015,134.83750451217645,83.15102548782356,-10464181.0,-11.659874683595849,45.32606857605995,537.1348808714087,8.890330785714287,102.20841,108.174,100.92735,107.92543,7482561.0,107.92543
