Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,Close_yes,Open_yes,High_yes,Low_yes,Relative_Performance,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Prev_Close
2020-03-16,140.0,149.35001,135.0,135.42,87905900.0,2020,3,16,152.6119996,159.87499880000001,167.546999475,168.76799973,158.83,147.5,161.91,140.73,-0.1473902915066425,38.19509617964686,-7.170790215783455,165.95396502903492,165.050498975,13.996962825633137,193.04442462626628,137.05657332373374,-150651000.0,-15.185263911486215,42.12440924631144,195.5688960016961,11.99000282142857,158.83
2020-03-17,140.0,147.5,135.0,146.57001,81059800.0,2020,3,17,149.5719996,156.1379998,165.050498975,168.26399973,135.42,140.0,149.35001,135.0,0.08233650863978736,41.991317851874534,-7.3863152867807,165.27266827198673,163.017499475,13.551696079900998,190.12089163480198,135.914107315198,-69591200.0,-14.705703996847195,40.04681587803222,198.48469903617146,12.512146892857142,135.42
2020-03-18,138.0,146.0,135.020004,140.39999,81593200.0,2020,3,18,146.7020016,154.3440018,163.017499475,168.02299993,146.57001,140.0,147.5,135.0,-0.04209606044237835,43.71820432729656,-7.963194755091564,164.42277248709237,160.67349897499997,13.183556150000605,187.0406112750012,134.30638667499875,-151184400.0,-12.049499495251716,34.343667298004895,198.6654997529285,12.466433035714285,146.57001
2020-03-19,142.77,150.14999,139.0,142.71001,85922700.0,2020,3,19,144.0559996,151.3290008,160.67349897499997,167.65039975,140.39999,138.0,146.0,135.020004,0.016453135075009673,43.10715132231784,-8.140142090604712,163.6686193607565,158.587999475,12.511303025199103,183.6106055253982,133.5653934246018,-65261700.0,-7.7944569105913795,33.30459610596462,192.6751685099507,12.426431607142856,140.39999
2020-03-20,146.0,147.10001,135.86,137.35001,84866200.0,2020,3,20,144.786002,148.9730018,158.587999475,167.35299995000003,142.71001,142.77,150.14999,139.0,-0.03755868281419095,36.833124109674976,-8.61358923847851,162.79567784436895,156.525999975,12.439446377841888,181.40489273068377,131.6471072193162,-150127900.0,-14.813530142077353,29.127943952877988,202.49114189639644,12.450003357142856,142.71001
2020-03-23,137.0099945,140.57001,132.52,135.98,78975200.0,2020,3,23,140.490004,146.5510018,156.525999975,166.89820023000001,137.35001,146.0,147.10001,135.86,-0.009974589736105655,38.82667288185327,-8.9956515994796,161.9927716344898,154.780499975,12.762888038972024,180.30627605294404,129.25472389705595,-229103100.0,-20.29949912106328,31.873117752275604,222.650444853527,12.115003357142854,137.35001
2020-03-24,143.75,149.60001,141.27,148.34,82516700.0,2020,3,24,140.602004,145.0870018,154.780499975,166.37600031,135.98,137.0099945,140.57001,132.52,0.09089571995881762,41.71207202348974,-8.206490752976435,161.5786102988806,153.793999625,12.440046316889608,178.6740922587792,128.91390699122078,-146586400.0,-11.918201761435366,33.57997301028731,226.00707708087816,12.64571764285714,135.98
2020-03-25,148.91,154.33,144.44,146.92,75638200.0,2020,3,25,140.956002,143.8290018,153.793999625,166.11600030999998,148.34,143.75,149.60001,141.27,-0.009572603478495423,42.6218292702122,-7.607957431608099,161.18203153682526,152.631499625,11.90398131657798,176.43946225815597,128.82353699184404,-222224600.0,-9.100410301406962,34.415396877448934,226.46396503117975,12.982146214285711,148.34
2020-03-26,148.39999,156.66,148.37,156.11,64568100.0,2020,3,26,142.260004,143.15800180000002,152.631499625,165.78880031,146.92,148.91,154.33,144.44,0.06255104818949109,47.98701997463887,-6.319215286016288,161.06753837216792,152.528000125,11.862125994349716,176.25225211369943,128.80374813630058,-157656500.0,-3.55920887715034,31.337592578816608,221.84948146644962,12.94428907142857,146.92
2020-03-27,151.75,154.89,149.2,149.7,57042300.0,2020,3,27,144.940002,144.863002,152.528000125,165.66840031,156.11,148.39999,156.66,148.37,-0.04106079046825972,49.649069442016746,-5.74884220572622,160.84527523807327,151.9125004,11.661911006530897,175.2363224130618,128.5886783869382,-214698800.0,-1.619845605265711,29.236514036299134,213.1646636265811,12.611431214285714,156.11
2020-03-30,152.44,160.60001,150.0099945,160.23,63420300.0,2020,3,30,147.41,143.95000199999998,151.9125004,165.39880051,149.7,151.75,154.89,149.2,0.07034068136272542,49.73726309355847,-4.3964548384821285,160.8321845676112,151.2845009,10.78358098494522,172.85166286989045,129.71733893010958,-151278500.0,-0.2428629671989731,28.15587742738141,205.42806302968523,12.646432,149.7
2020-03-31,159.39999,164.78,156.56,157.71001,77927200.0,2020,3,31,152.26,146.431002,151.2845009,165.28000050999998,160.23,152.44,160.60001,150.0099945,-0.015727329463895545,51.61214171759403,-3.4878148802312694,160.7526414545879,150.9445019,10.446576818265482,171.83765553653097,130.05134826346904,-229205700.0,4.034187160688826,31.321924841976344,193.98077884622478,12.535717000000002,160.23
