Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-16,65.28,72.97,63.37,66.79,17976700.0,2020,3,16,81.238,86.253,91.6025,97.51779979999999,27.634763476347644,-5.3857609703349425,93.9949322835643,108.14404180429256,75.06095819570746,-76654100.0,-25.680457966261766,52.78987623271297,256.8752267001019,5.248571285714287,78.2,78.2,71.76,75.58,21859600.0,75.58
2020-03-17,67.51,73.33,62.4,69.84,17122100.0,2020,3,17,77.774,83.66400000000002,89.76500000000001,96.8095998,24.516884637907467,-6.498912592653994,92.83507600852862,108.7127703173751,70.81722968262493,-94630800.0,-29.172287655972724,54.62906326496781,266.3549690194397,5.824999857142858,65.28,72.97,63.37,66.79,17976700.0,66.79
2020-03-18,64.79,68.33,60.0,68.040001,19498800.0,2020,3,18,74.082,81.55499999999999,88.15700000000001,96.1679998,29.243162233046093,-7.053673406805345,91.93774724856817,108.16190792412283,68.15209207587719,-77508700.0,-23.7363621406449,49.97773435710829,268.90281463201654,6.415714142857143,67.51,73.33,62.4,69.84,17122100.0,69.84
2020-03-19,67.040001,72.71,64.15,70.34,16177200.0,2020,3,19,70.8900002,78.98000010000001,86.43600005,95.49219982000001,30.175913979816627,-7.551520991604207,90.92093371601791,107.1689569986184,65.70304310138161,-97007500.0,-26.00420399579389,46.05678233438483,277.1656046007141,6.7928571428571445,64.79,68.33,60.0,68.040001,19498800.0,68.040001
2020-03-20,71.51,74.059998,67.2,67.45,15761900.0,2020,3,20,70.11800020000001,76.9560001,84.82650005,94.86339982000001,32.10526248516025,-7.67203959517478,90.21919000865783,105.2950547333854,64.35794536661462,-80830300.0,-16.871350916045905,44.89631568351116,272.17631213392997,7.095714285714287,67.040001,72.71,64.15,70.34,16177200.0,70.34
2020-03-23,65.0,66.88,60.58,62.8,17690000.0,2020,3,23,68.4920002,74.8650001,83.18650005,94.18139982000001,26.103427774329518,-7.909573662414687,89.4870859221191,103.7077836084348,62.665216491565225,-96592200.0,-18.896704345780027,44.45875100443203,276.81542359050735,7.212142714285714,71.51,74.059998,67.2,67.45,15761900.0,67.45
2020-03-24,65.7,72.66,64.0,72.33,18849500.0,2020,3,24,67.6940002,72.7340001,81.53100005,93.40779982,24.744118324443093,-8.376478431193362,88.55758534796762,103.04840036753009,60.01359973246991,-114282200.0,-27.168133562179907,47.230011548487134,292.674365853064,7.3878569999999995,65.0,66.88,60.58,62.8,17690000.0,62.8
2020-03-25,80.11,83.49,76.2,79.010002,27053200.0,2020,3,25,68.1920002,71.1370001,80.50250005000001,92.83639982000001,32.79345679260604,-7.8866006468325764,87.97688975146066,101.69580063035973,59.30919946964029,-95432700.0,-19.18230476261997,47.139879378839254,294.8647290758106,7.879285571428572,65.7,72.66,64.0,72.33,18849500.0,72.33
2020-03-26,80.17,86.86,80.010002,84.3,17200800.0,2020,3,26,70.3860004,70.6380003,79.85300015,92.37339986,41.21221479568585,-6.880039822654382,87.53885931520918,100.34735877301733,59.358641526982666,-68379500.0,-6.9631016317480405,53.817378912045214,284.88903985888476,8.401428428571428,80.11,83.49,76.2,79.010002,27053200.0,79.010002
2020-03-27,81.7,85.74,79.51,83.23,14183400.0,2020,3,27,73.1780004,71.64800029999999,79.64050015000001,92.00099986000001,47.053700930441245,-5.591024637641212,87.44129276006105,99.84119773710543,59.439802562894585,-51178700.0,-2.0948911847277043,52.20667722800951,271.7590841688965,8.626428285714285,80.17,86.86,80.010002,84.3,17200800.0,84.3
2020-03-30,84.0,85.96,81.5,85.38,10960100.0,2020,3,30,76.33400040000001,72.4130003,79.33300015,91.60979986000001,49.33049298023411,-4.602753200521022,87.33922226422219,99.09185903523777,59.574141264762225,-65362100.0,-0.8364001618066297,49.00468882585109,258.0812915547777,8.539999714285713,81.7,85.74,79.51,83.23,14183400.0,83.23
2020-03-31,85.13,85.73,82.4,82.74,9610100.0,2020,3,31,80.8500004,74.2720003,78.96800015,91.24999986,47.70728636015346,-3.6045034626004195,87.30320224715915,97.94287937886197,59.993120921138015,-54402000.0,-2.05907179946235,49.46835947572523,247.9191249660581,8.464285428571426,84.0,85.96,81.5,85.38,10960100.0,85.38
2020-04-01,79.49,81.18,78.53,79.23,9771300.0,2020,4,1,82.93200039999999,75.5620003,78.55850015,90.81419985999999,48.98419861284097,-2.991920295140119,87.23080897961977,96.78516330142686,60.33183699857314,-64012100.0,0.9515571263514653,50.78720244938418,231.36089664131677,8.257142571428568,85.13,85.73,82.4,82.74,9610100.0,82.74
2020-04-02,79.0,81.6,77.16,80.14,12731300.0,2020,4,2,82.976,76.6810002,77.83050015,90.30719986,54.5128298766492,-2.7578802602906904,87.10379917849635,94.60049892686978,61.060501373130236,-73783400.0,2.472199337274135,49.177470790459395,212.3019744044488,7.772142571428568,79.49,81.18,78.53,79.23,9771300.0,79.23
2020-04-03,79.36,79.79,77.91,78.86,8476900.0,2020,4,3,82.144,77.6610002,77.30850015000001,89.82019985999999,54.12595020361746,-2.470494133154631,86.96268232342943,93.02433489527668,61.59266540472335,-61052100.0,3.1832226639162053,50.220022478046,197.91773946767591,7.629285428571426,79.0,81.6,77.16,80.14,12731300.0,80.14
2020-04-06,81.91,85.040001,81.21,84.63,11266500.0,2020,4,6,81.27,78.8020002,76.83350014999999,89.33699992,62.63874398486885,-2.319288544849684,86.85481120756296,91.69389928127656,61.973101018723426,-69529000.0,7.043272004266127,47.50594433567883,179.70243224092835,6.916428285714282,79.36,79.79,77.91,78.86,8476900.0,78.86
2020-04-07,88.7,88.87,84.029999,84.16,10468100.0,2020,4,7,81.11999999999999,80.9850002,76.85950015,88.98899994000001,64.6522692550929,-1.7141070891139094,86.81612962535456,91.77522047569393,61.94377982430608,-58262500.0,12.717203933010564,52.48697390813341,163.99419921631835,6.57714264285714,81.91,85.040001,81.21,84.63,11266500.0,84.63
2020-04-08,84.7,85.77,83.61,85.3,6642700.0,2020,4,8,81.40400000000001,82.1680002,76.65250015000001,88.66739994,66.40211571839878,-1.2579209675076584,86.77390366978136,91.0039472965792,62.301053003420826,-68730600.0,23.587506283589967,55.98300886502092,141.23368097559478,6.219999857142854,88.7,88.87,84.029999,84.16,10468100.0,84.16
2020-04-09,86.69,87.39,85.16,86.79,7773600.0,2020,4,9,82.61800000000001,82.797,76.71750015,88.36519994,65.58982909545645,-0.7952347358502578,86.75918336282211,91.22004560218303,62.21495469781698,-62087900.0,16.187407441433017,55.80069796233763,129.42119889755406,5.762856999999998,84.7,85.77,83.61,85.3,6642700.0,85.3
2020-04-13,85.8,85.99,84.14,84.46,5077600.0,2020,4,13,83.94800000000001,83.046,77.34700015000001,88.10419994,70.7599828252469,-0.3048083750263686,86.7595393744109,92.4691707546942,62.22482954530582,-54314300.0,17.527944773175555,57.22551216305066,115.51083889956963,5.432142857142856,86.69,87.39,85.16,86.79,7773600.0,86.79
2020-04-14,85.95,87.77,85.48,87.47,6397200.0,2020,4,14,85.06800000000001,83.16900000000001,77.79100014999999,87.82959994000001,74.46904654315409,-0.10296654389624393,86.74231707382565,93.21319854181932,62.36880175818065,-59391900.0,26.604482806626763,52.79131560629266,91.37792958326152,5.1307142857142845,85.8,85.99,84.14,84.46,5077600.0,84.46
2020-04-15,84.87,85.88,83.71,85.040001,8053900.0,2020,4,15,85.636,83.378,78.82500015,87.65299993999999,70.05829358770535,0.29645901090823656,86.74911920826898,93.91098443775961,63.73901586224038,-52994700.0,23.146446078431374,54.901963848039244,77.33954146894135,4.662857142857142,85.95,87.77,85.48,87.47,6397200.0,87.47
2020-04-16,85.43,86.53,84.55,86.3,9373800.0,2020,4,16,85.8120002,83.6080001,79.5850002,87.36839996,59.0026866828325,0.4121747360580912,86.72923948665942,94.29183273686436,64.87816766313563,-61048600.0,4.129232895646165,43.901178299930926,73.98835455449357,4.134285714285714,84.87,85.88,83.71,85.040001,8053900.0,85.040001
2020-04-17,89.0,90.25,88.36,89.91,8111400.0,2020,4,17,86.01200019999999,84.31500009999999,80.49800015,87.06679996000001,53.39443336011089,0.5986507972318265,86.72350615097965,94.43405504091265,66.56194525908734,-51674800.0,-0.6344933422613563,43.14554727377251,73.60436901622953,3.715000142857143,85.43,86.53,84.55,86.3,9373800.0,86.3
2020-04-20,88.43,89.44,87.52,87.9,7244400.0,2020,4,20,86.6360002,85.2920001,81.47650015,86.85419996,60.43750065234378,1.0259052520291192,86.7599152619845,95.15526780964431,67.7977324903557,-43563400.0,9.06897208650827,51.779603789278006,71.22714368067929,3.552143000000001,89.0,90.25,88.36,89.91,8111400.0,89.91
2020-04-21,85.99,86.9,85.089996,85.2,6597000.0,2020,4,21,87.3240002,86.1960001,82.49900015,86.60679995999999,53.954802508148326,1.1886156624597106,86.77143204825622,94.74537251190912,70.25262778809088,-50807800.0,7.3017202139437645,51.615604212521916,68.83623716726464,3.4042858571428587,88.43,89.44,87.52,87.9,7244400.0,87.9
