Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,Close_yes,Open_yes,High_yes,Low_yes,Relative_Performance,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Prev_Close
2020-03-16,5.31025,5.6525,4.85,4.91,726972000.0,2020,3,16,6.0507,6.4407499999999995,6.757225,6.432545006000001,6.021,5.7625,6.0255,5.49025,-0.18452084371366884,36.44099301912512,-0.24649311357506232,6.525706008000299,6.640487500000001,0.7131556977109793,8.06679889542196,5.214176104578042,806724000.0,-17.018184167178067,49.96608636671941,142.92499938711353,0.5528750000000001,6.021
2020-03-17,5.02275,5.5215,4.775,5.43175,833632000.0,2020,3,17,5.8055,6.240675,6.640487500000001,6.410790006,4.91,5.31025,5.6525,4.85,0.10626272912423618,40.21215418091389,-0.28430716657450095,6.490464708227859,6.5413625,0.7373156347387901,8.01599376947758,5.06673123052242,1640356000.0,-16.744371510950256,47.13207778663883,153.38998763943565,0.5821785714285715,4.91
2020-03-18,5.0025001,5.2485,4.517,5.0705,874268000.0,2020,3,18,5.58645,6.1191249999999995,6.5413625,6.401390006000001,5.43175,5.02275,5.5215,4.775,-0.06650711096792006,40.306122448979586,-0.33951125748204536,6.444059188206418,6.4015125,0.7378021391579548,7.8771167783159095,4.92590822168409,766088000.0,-16.594445252290242,43.87669041733314,163.4987260981224,0.6140178571428571,5.43175
2020-03-19,5.049,5.41825,4.83475,5.32425,765512000.0,2020,3,19,5.3682,5.9149,6.4015125,6.3842700059999995,5.0705,5.0025001,5.2485,4.517,0.050044374322059104,38.55436177036561,-0.3586510864553958,6.412906858787148,6.28185,0.7065474636718002,7.694944927343601,4.8687550726564,1531600000.0,-16.560679900154522,46.49946511351477,173.33376366759754,0.6009285714285715,5.0705
2020-03-20,5.475,5.758,5.12825,5.14375,804636000.0,2020,3,20,5.3515,5.7641,6.28185,6.370790006,5.32425,5.049,5.41825,4.83475,-0.03390148847255492,35.88094286855774,-0.38395834748630797,6.376849647889868,6.17145,0.703068442052783,7.577586884105566,4.765313115894434,726964000.0,-13.696685210941123,43.17628650904031,181.33296382649056,0.6162857142857143,5.32425
2020-03-23,5.14275,5.412,4.963,5.31725,643876000.0,2020,3,23,5.17605,5.6133750000000004,6.17145,6.353475006,5.14375,5.475,5.758,5.12825,0.03373025516403394,39.217673287393595,-0.38556992410612434,6.3532959752374945,6.0957125,0.7097222366003484,7.515156973200697,4.6762680267993035,1370840000.0,-18.750544314454096,44.75280866258311,192.5350384626261,0.6151249999999998,5.14375
2020-03-24,5.725,6.3165,5.70125,6.2295,1101644000.0,2020,3,24,5.2575,5.531499999999999,6.0957125,6.338310006,5.31725,5.14275,5.412,4.963,0.17156424843669194,43.32312809464413,-0.3096665163398127,6.348760201274442,6.079625,0.7024624334402074,7.484549866880415,4.674700133119585,2472484000.0,-8.819505253940465,48.968366900175134,196.90159189341932,0.6525714285714285,5.31725
2020-03-25,6.345,6.5455,6.0915,6.1405,793432000.0,2020,3,25,5.41705,5.5017499999999995,6.079625,6.340740006,6.2295,5.725,6.3165,5.70125,-0.014286860903764298,44.61484566579737,-0.25376878642216383,6.343405837683062,6.0520875,0.6878674246644295,7.427822349328859,4.676352650671141,1679052000.0,-5.769178876925989,51.3397555249737,199.6889089811655,0.661767857142857,6.2295
2020-03-26,6.3485,6.5555,6.25,6.431,696108000.0,2020,3,26,5.63105,5.499625,6.0520875,6.337560006,6.1405,6.345,6.5455,6.0915,0.04730885107075977,48.315982853643604,-0.18390852752460862,6.345338056953442,6.0578875,0.6906842215618326,7.439255943123665,4.676519056876335,2375160000.0,-1.659048131218063,49.233664963699944,196.47095704791104,0.6641071428571426,6.1405
2020-03-27,6.25,6.578,6.217,6.31825,638828000.0,2020,3,27,5.8524,5.60195,6.0578875,6.342540006,6.431,6.3485,6.5555,6.25,-0.017532265588555473,51.48660222684448,-0.13607318476983288,6.344800576689012,6.0362124999999995,0.6743728679055127,7.384958235811025,4.687466764188974,1736332000.0,1.0377147958045074,45.91609015844678,191.21072876175646,0.6401428571428571,6.431
