Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-03-16,20.15,21.49,19.1,20.29,56914000.0,2020,3,16,25.718,29.290000099999997,33.52,35.164799884,16.588685665674163,-3.2469127863640566,34.90067414391795,33.52,5.728269620142967,44.97653924028594,22.06346075971407,-54305700.0,-33.51654620434822,46.403927194296465,360.9653903597146,3.0539287142857146,24.01,24.81,21.13,22.6,53844400.0,22.6
2020-03-17,20.18,20.31,18.01,18.91,60003900.0,2020,3,17,24.142000000000003,28.034000100000004,32.5515,34.950799884,16.666666666666643,-3.7184730399837598,34.434680005255636,32.5515,6.249302440988723,45.05010488197745,20.05289511802255,-111219700.0,-41.45053202907959,46.05093082732398,489.847983345525,3.0432144285714284,20.15,21.49,19.1,20.29,56914000.0,20.29
2020-03-18,17.76,17.8,13.71,14.82,78286200.0,2020,3,18,22.130000000000003,26.621,31.488,34.701599884000004,16.70951156812336,-4.155638788090545,33.92963515011827,31.488,6.677920035381348,44.843840070762695,18.132159929237304,-171223600.0,-37.192116481721015,44.804126445971065,556.2916080102964,3.0450001428571434,20.18,20.31,18.01,18.91,60003900.0,18.91
2020-03-19,17.76,17.8,13.71,14.82,78286200.0,2020,3,19,19.845999999999997,24.65,30.176500050000005,34.366399883999996,15.336217066456925,-4.7770576643783045,33.15157562591006,30.176500050000005,7.252177388920423,44.68085482784085,15.67214527215916,-249509800.0,-37.139612388666855,45.811575672573184,614.3407804869516,3.1464287142857144,17.76,17.8,13.71,14.82,78286200.0,14.82
2020-03-20,22.53,23.89,20.61,21.33,76529700.0,2020,3,20,18.288,22.911,28.871500049999998,34.006599884,10.329029571012072,-5.20948490176184,32.434395618722256,28.871500049999998,7.558983025920757,43.989466101841515,13.753533998158485,-249509800.0,-36.766999475273145,44.25863793718448,674.3077074102881,3.2035715714285717,17.76,17.8,13.71,14.82,78286200.0,14.82
2020-03-23,21.07,22.73,19.73,22.4,47787100.0,2020,3,23,18.034,21.875999999999998,27.902000049999998,33.754599884,30.474576271186436,-4.9695975817431055,32.025353235655906,27.902000049999998,7.193984805582203,42.289969661164406,13.514030438835592,-172980100.0,-19.755723148507172,50.42652190771617,671.3649147288097,3.684285714285714,22.53,23.89,20.61,21.33,76529700.0,21.33
2020-03-24,24.41,26.84,23.59,26.39,58505000.0,2020,3,24,18.456,21.299,27.10650005,33.523199884,32.48847704043703,-4.639661959714264,31.80893467611961,27.10650005,6.854134621821553,40.81476929364311,13.398230806356896,-125193000.0,-21.892925430210326,51.10898661567877,669.9473741660048,3.7357142857142853,21.07,22.73,19.73,22.4,47787100.0,22.4
2020-03-25,26.18,28.45,25.31,26.19,52473900.0,2020,3,25,19.951999999999998,21.041,26.63150005,33.370799917999996,37.62165450121654,-4.0100011508915046,31.66376337366494,26.63150005,6.53514815930388,39.70179636860776,13.56120373139224,-66688000.0,-15.834575260804778,56.277943368107294,664.8529311195771,3.834285714285714,24.41,26.84,23.59,26.39,58505000.0,26.39
2020-03-26,26.6,28.44,25.78,28.12,41336400.0,2020,3,26,22.226000000000003,21.036,26.21850005,33.211799918000004,40.21456436931079,-3.4869335525159357,31.53532600062196,26.21850005,6.270690672288545,38.75988139457709,13.67711870542291,-119161900.0,-9.436048654625878,58.274972355326206,650.0745720013756,3.875714285714285,26.18,28.45,25.31,26.19,52473900.0,26.19
2020-03-27,25.82,28.030001,25.07,27.28,40292200.0,2020,3,27,24.886000000000003,21.587,26.00200005,33.077399918,44.46517412935324,-2.8834255076061197,31.473342988240436,26.00200005,6.11708708660036,38.23617422320072,13.767825876799279,-77825500.0,-7.2234352256186245,55.62227074235808,635.6100444688442,3.9257142857142853,26.6,28.44,25.78,28.12,41336400.0,28.12
