Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2021-09-28,21.214,21.419,20.651,20.699,343069000.0,2021,9,28,21.8819998,21.9247999,22.19044995,20.95047502,39.38559322033901,0.2165389270393163,20.84335035666076,23.07907196648932,21.301827933510683,1285767000.0,-12.534185566794172,53.49818294190776,113.14481050927648,0.6268570714285716,21.71,21.799,21.325,21.66,245215000.0,21.66
2021-09-29,20.94,21.017,20.467,20.517,218394000.0,2021,9,29,21.7725998,21.7704999,22.09099995,20.98886002,34.69578200821205,0.1008265762507321,20.83983303634361,23.169975489452547,21.01202441054745,942698000.0,-13.087913526144328,53.010994836373015,122.71758066710908,0.6499999285714289,21.214,21.419,20.651,20.699,343069000.0,20.699
2021-09-30,20.768,21.066,20.688,20.716,221009000.0,2021,9,30,21.4877998,21.5880999,21.99759995,21.02696002,34.56675343994051,-0.0054987877716676,20.83490190672742,23.27464115472618,20.720558745273824,724304000.0,-16.455697982873307,52.51542275402169,133.03801713154965,0.6602142142857146,20.94,21.017,20.467,20.517,218394000.0,20.517
2021-10-01,20.75,20.859,20.203,20.742,240978000.0,2021,10,1,21.1345998,21.4354999,21.91134995,21.05308002,33.301743745261575,-0.0728648275297132,20.83309196415502,23.29117268542657,20.531527214573423,945313000.0,-16.69699418784056,52.831002122551865,143.5922752362321,0.6673570714285716,20.768,21.066,20.688,20.716,221009000.0,20.716
2021-10-04,20.504,20.542,19.555,19.732,345635000.0,2021,10,4,20.8668,21.3196999,21.82864995,21.07604002,35.83199356913184,-0.1227400458298397,20.831604746851923,23.28244962093858,20.37485027906142,1186291000.0,-23.67030514677889,56.32520592884354,156.72978384133202,0.6352142142857148,20.75,20.859,20.203,20.742,240978000.0,20.742
2021-10-05,19.95,20.648,19.854,20.451,279282000.0,2021,10,5,20.4812,21.1815999,21.67309995,21.07952002,28.71438263229308,-0.2409871251723316,20.806444286546206,23.322495563978222,20.023704336021776,840656000.0,-19.147193434521643,55.64781218202256,165.7981667452178,0.6968570714285719,20.504,20.542,19.555,19.732,345635000.0,19.732
2021-10-06,20.12,20.72,20.08,20.7,297202000.0,2021,10,6,20.4316,21.1020999,21.56254995,21.10266002,35.497237569060786,-0.273528430923033,20.79999186822257,23.22916214011252,19.89593775988748,1119938000.0,-16.736444040156172,54.60033634508192,171.6887595594587,0.7336427857142862,19.95,20.648,19.854,20.451,279282000.0,20.451
2021-10-07,21.091999,21.322,20.972,21.075001,256919000.0,2021,10,7,20.4682,20.9779999,21.48059995,21.13250002,38.43384338433843,-0.2760433749622137,20.79809684387304,23.147641678976044,19.813558221023957,1417140000.0,-14.832810787159271,55.206254663832944,176.67871996605788,0.7497856428571433,20.12,20.72,20.08,20.7,297202000.0,20.7
2021-10-08,21.101,21.206,20.775,20.831,151258000.0,2021,10,8,20.5400002,20.8373,21.4255,21.16394004,43.8423729150063,-0.2449533695802337,20.802560252722,23.068296139321223,19.782703860678776,1674059000.0,-9.399699792971395,62.00602766334473,177.2310921800953,0.759142785714286,21.091999,21.322,20.972,21.075001,256919000.0,21.075001
2021-10-11,20.575,21.063,20.511,20.695,163388000.0,2021,10,11,20.5578002,20.7123001,21.34315,21.18732004,47.70955240105511,-0.2372680791005592,20.80282760451618,22.92789600574892,19.758403994251083,1522801000.0,-2.3113738225612304,57.21413880604208,168.4024276959869,0.7014999285714288,21.101,21.206,20.775,20.831,151258000.0,20.831
