day,operate,price,investment,total_balance
0,buy,331.47975734106603,0.0,9668.520242658935
3,buy,338.9079741041315,0.0,9329.612268554803
4,buy,335.03559065195265,0.0,8994.57667790285
5,buy,333.0036724358797,0.0,8661.573005466971
8,buy,365.02810619713307,0.0,8296.544899269838
9,buy,362.82445037879944,0.0,7933.720448891039
10,buy,355.9325510957783,0.0,7577.7878977952605
13,sell,379.18613525390623,14.391943054234279,7956.974033049167
14,sell,393.45841021397115,16.095943523913288,8350.432443263138
15,buy,395.53065138100266,0.0,7954.9017918821355
16,buy,403.24086713194845,0.0,7551.660924750187
17,buy,400.45164406836034,0.0,7151.209280681827
18,sell,403.40719011288525,20.407264591766772,7554.616470794713
19,sell,399.03954364937067,19.83037325998447,7953.656014444084
21,sell,408.95302236020564,12.033297002985014,8362.60903680429
22,sell,419.5863803363528,15.644461088080543,8782.195417140643
23,sell,423.76136608123784,19.056648451129547,9205.956783221882
24,buy,435.7611238958919,0.0,8770.19565932599
25,sell,441.1527191565299,11.5343950250725,9211.348378482518
26,sell,445.855465920403,10.568025778624813,9657.203844402922
27,sell,432.8301810818827,8.085504827642831,10090.034025484805
28,sell,435.82580556909204,0.014843378551500691,10525.859831053896
31,buy,425.76194390609623,0.0,10100.0978871478
32,buy,417.8169494009018,0.0,9682.280937746898
33,sell,419.12252647090475,-1.5594201243725636,10101.403464217803
35,sell,430.7179149280226,3.0877075584461506,10532.121379145825
50,buy,429.7449257969856,0.0,10102.37645334884
53,buy,425.19531553712727,0.0,9677.181137811713
54,buy,415.69968020435334,0.0,9261.481457607359
55,buy,428.44915474653243,0.0,8833.032302860825
58,sell,431.63249541084053,0.4392302271758778,9264.664798271666
59,sell,432.70008647441864,1.7650173139398255,9697.364884746084
62,sell,439.36425864818455,5.69271028358693,10136.729143394268
63,sell,429.74059963816524,0.30142313908795476,10566.469743032434
64,buy,430.61227263801453,0.0,10135.85747039442
67,sell,424.2922782663512,-1.4676763235162338,10560.149748660771
69,buy,403.6609528064728,0.0,10156.488795854299
70,buy,405.24583310604095,0.0,9751.242962748258
72,buy,414.0237244402659,0.0,9337.219238307993
73,buy,428.5267394211626,0.0,8908.69249888683
74,buy,407.9230348323834,0.0,8500.769464054447
75,buy,417.11284838313554,0.0,8083.656615671312
76,buy,419.194578840405,0.0,7664.462036830907
79,sell,434.4155588688421,7.618920246941495,8098.877595699749
83,sell,442.92009367280605,9.296643540541192,8541.797689372555
84,sell,442.4145739539784,6.857300158848423,8984.212263326534
85,sell,444.82677005938945,3.8037371157385245,9429.039033385923
87,buy,411.9566078342896,0.0,9017.082425551633
88,buy,400.33160549308,0.0,8616.750820058553
89,buy,396.8876415979862,0.0,8219.863178460566
90,buy,394.41700984362365,0.0,7825.4461686169425
91,buy,396.2858282213509,0.0,7429.160340395591
92,buy,386.45384487873434,0.0,7042.706495516857
93,buy,384.37712946704863,0.0,6658.329366049808
94,buy,380.0974176359177,0.0,6278.231948413891
95,buy,385.1505417868495,0.0,5893.081406627041
96,buy,379.64585983753204,0.0,5513.435546789509
97,buy,378.0285091996193,0.0,5135.40703758989
99,buy,377.8770676550424,0.0,4757.529969934848
101,buy,376.6674740165472,0.0,4380.862495918301
102,buy,376.6407664801616,0.0,4004.221729438139
106,buy,372.47863225186114,0.0,3631.7430971862777
107,buy,365.0113489502084,0.0,3266.7317482360695
108,buy,360.21933348874154,0.0,2906.512414747328
109,buy,354.851465786615,0.0,2551.660948960713
110,buy,360.09095951158827,0.0,2191.569989449125
111,buy,355.0949272036553,0.0,1836.4750622454696
112,buy,345.6890967363119,0.0,1490.7859655091577
114,buy,400.8305764938587,0.0,1089.955389015299
115,buy,406.84363743305204,0.0,683.111751582247
116,buy,413.8487736690235,0.0,269.26297791322355
117,sell,411.461051851511,0.8673246463224094,680.7240297647345
119,buy,398.28012548089026,0.0,282.44390428384423
125,sell,434.6908598570108,4.214210025419582,717.134764140855
127,sell,436.4098447066611,4.106748210789788,1153.5446088475162
128,sell,434.84777253534554,5.5566931724673125,1588.3923813828617
130,buy,444.79740048646926,0.0,1143.5949808963924
131,buy,449.04870760314105,0.0,694.5462732932513
132,sell,462.61094289779663,15.556937436405619,1157.1572161910478
133,sell,467.8755482795656,17.88614691950629,1625.0327644706135
135,sell,475.7948902893067,20.63244698243296,2100.8276547599203
136,sell,476.4185228223145,20.220933703489482,2577.246177582235
137,sell,479.62581157684326,24.10946816361613,3056.871989159078
138,sell,481.3612495613098,25.231501215676598,3538.233238720388
139,sell,481.16063772732855,26.588767879558674,4019.393876447716
140,sell,481.1701900959015,24.930420158201755,4500.564066543618
141,sell,479.53294230103495,26.310594432993206,4980.097008844653
142,sell,476.1926610016823,25.967393837544435,5456.2896698463355
143,sell,467.64317836178896,23.755374006631303,5923.932848208125
144,sell,455.52304642366886,20.935062846349588,6379.455894631794
146,sell,447.8643280195093,18.910210438704382,6827.320222651303
147,sell,452.89067935943604,21.588365115452365,7280.210902010739
148,sell,454.4333522999954,24.498417270303882,7734.644254310734
149,sell,460.3819382269156,27.80600468278436,8195.026192537649
150,sell,463.33397829532623,30.571245427501122,8658.360170832975
151,sell,480.489365312469,33.43555360683975,9138.849536145444
152,sell,470.4726829396689,32.492087860731885,9609.322219085114
153,sell,472.8713556234775,36.79093731561308,10082.193574708592
154,sell,487.107352437973,21.52449962744701,10569.300927146565
155,sell,496.16739851849417,21.95530490510393,11065.468325665059
156,sell,490.5305796346414,18.52894362493493,11555.9989052997
157,sell,493.03566112764474,23.791178515961604,12049.034566427345
158,sell,488.35358668812637,9.79236527776922,12537.388153115471
159,sell,492.93527277231215,9.773230481704678,13030.323425887784
