day,operate,price,investment,total_balance
0,buy,232.87460224181592,0.0,9767.125397758184
1,buy,230.85834552705288,0.0,9536.267052231131
2,buy,230.57774961817074,0.0,9305.68930261296
3,buy,230.93431961536407,0.0,9074.754982997596
4,buy,232.38963744819165,0.0,8842.365345549404
5,buy,230.08702387750148,0.0,8612.278321671902
6,buy,232.29829463848233,0.0,8379.98002703342
7,buy,233.2868115155232,0.0,8146.6932155178965
8,buy,233.03461235940458,0.0,7913.658603158492
9,buy,231.04094803333282,0.0,7682.617655125159
10,buy,224.40218022823336,0.0,7458.215474896926
11,buy,222.1325111836195,0.0,7236.0829637133065
12,buy,223.3175950062275,0.0,7012.765368707079
13,buy,225.00296680022444,0.0,6787.762401906854
14,buy,221.6979160308838,0.0,6566.064485875971
15,buy,221.1066740928271,0.0,6344.957811783143
16,buy,226.54455149173737,0.0,6118.413260291406
17,buy,228.79105368179438,0.0,5889.622206609612
18,buy,226.72699035286905,0.0,5662.895216256742
19,buy,228.1359200298786,0.0,5434.759296226864
20,buy,225.16393903434277,0.0,5209.595357192521
21,buy,222.92360918242497,0.0,4986.671748010096
23,buy,226.0722508460283,0.0,4760.5994971640675
24,buy,223.34158744047284,0.0,4537.257909723595
25,buy,223.42448445796967,0.0,4313.833425265625
26,buy,226.20159895420073,0.0,4087.6318263114244
28,buy,226.59758937120438,0.0,3861.03423694022
29,buy,227.41470909118652,0.0,3633.6195278490336
33,buy,227.6357265472412,0.0,3405.9838013017925
35,sell,234.68146459764003,0.7758949831497172,3640.6652658994326
37,buy,238.18477590441702,0.0,3402.4804899950154
39,sell,238.9334223175049,3.497849199263947,3641.4139123125206
40,sell,236.43124152719975,2.538619584379757,3877.8451538397203
42,sell,240.39721536636353,4.097656756587981,4118.242369206084
43,sell,241.99412147060752,4.1329226758474,4360.236490676692
45,sell,242.87539181947707,5.558057002286287,4603.111882496169
47,sell,240.50305685698987,3.5319941677903075,4843.614939353159
48,sell,241.1584806227684,3.3742452289127396,5084.773419975927
49,sell,239.37055674910545,2.7188855447486366,5324.143976725032
50,sell,239.020920753479,3.4539213884263016,5563.164897478511
51,sell,240.53151579301715,7.187691112617123,5803.696413271528
52,buy,238.50144913613795,0.0,5565.19496413539
53,sell,236.95034934677244,6.670720140963156,5802.145313482163
54,sell,234.32985919475556,4.931212065140221,6036.475172676919
55,buy,235.682143881917,0.0,5800.793028795002
56,sell,237.6037328034639,5.6002666020077125,6038.396761598466
57,sell,239.58112679600717,8.066476710873612,6277.977888394473
58,sell,237.29974509239196,7.323646410043027,6515.277633486865
59,buy,238.44446996745765,0.0,6276.833163519407
60,buy,238.62974186356368,0.0,6038.203421655843
