day,operate,price,investment,total_balance
0,buy,232.7990234744185,0.0,9767.20097652558
1,buy,230.80032544612885,0.0,9536.400651079452
2,buy,230.53737812245453,0.0,9305.863272956996
4,buy,232.3463287127018,0.0,9073.516944244295
5,buy,230.0233937114477,0.0,8843.493550532847
6,buy,232.21252711971462,0.0,8611.281023413132
7,buy,233.17638308214606,0.0,8378.104640330987
8,buy,232.90195959448815,0.0,8145.202680736498
9,buy,230.88722745895384,0.0,7914.315453277544
10,buy,224.2190462100506,0.0,7690.096407067494
11,buy,221.91825206577778,0.0,7468.178155001716
13,buy,224.73021426141545,0.0,7243.4479407403005
14,buy,221.39949786901474,0.0,7022.048442871286
15,buy,220.81570397252142,0.0,6801.232738898765
16,buy,226.28767839074135,0.0,6574.945060508024
18,buy,226.5495856958628,0.0,6348.395474812161
19,buy,227.98726675152778,0.0,6120.408208060634
20,buy,225.03611267745495,0.0,5895.372095383179
23,buy,225.95589821219443,0.0,5669.416197170985
24,buy,223.2033973440814,0.0,5446.212799826903
25,buy,223.25635724544526,0.0,5222.956442581458
26,buy,225.99783692657945,0.0,4996.958605654879
27,buy,228.75081429421903,0.0,4768.20779136066
28,buy,226.32884447157383,0.0,4541.878946889086
31,buy,229.4460833400488,0.0,4312.432863549037
34,buy,227.89696411405563,0.0,4084.5358994349817
36,sell,237.39988320350645,1.9763226066940598,4321.9357826384885
37,buy,237.85732137203217,0.0,4084.0784612664565
38,buy,239.3009397625923,0.0,3844.777521503864
40,sell,236.22529294490812,2.35050253429799,4081.0028144487724
41,sell,237.89424712657927,3.19118273316052,4318.8970615753515
42,sell,240.23868123590947,3.3968053495549904,4559.135742811261
43,sell,241.85899263316514,5.14538922791678,4800.994735444426
44,sell,242.9222346651554,4.612028333820038,5043.916970109581
45,sell,242.74283458471297,4.10266742116706,5286.659804694294
46,sell,243.55322740386845,4.573283895045584,5530.213032098162
48,sell,240.96301021337507,4.3639411609342735,5771.1760423115375
49,sell,239.15637690424919,6.661936595789967,6010.332419215787
50,sell,238.779021397233,7.597738885604419,6249.11144061302
51,sell,240.25998545036495,6.9104064355514865,6489.371426063385
52,sell,238.21086199402808,7.593225949843549,6727.582288057413
53,sell,236.62607046585083,7.159982831337428,6964.208358523264
54,sell,233.9778893136978,3.3984222992811,7198.186247836962
55,sell,235.29328855872154,3.859509535628531,7433.479536395684
56,buy,237.24889236629008,0.0,7196.230644029393
57,sell,239.26763173818588,4.947804825851095,7435.498275767579
58,buy,237.0283040380478,0.0,7198.469971729531
59,sell,238.2053999649012,5.852077309174745,7436.675371694432
60,sell,238.4165382259834,5.514633657443733,7675.091909920416
61,sell,240.9104765554851,7.933158465373709,7916.0023864759005
62,buy,238.6808545574498,0.0,7677.321531918451
63,buy,239.138182608065,0.0,7438.183349310386
64,sell,239.53270334243774,7.290428948053861,7677.716052652823
